Respondenten_ID;Frage;Antwort
R-0019;Q3_Preis_Fair;3
R-0019;Q4_Nachhaltig;4
R-0019;Q5_Zufrieden;3
R-0020;Q1_Markenbekanntheit;5
R-0020;Q2_Weiterempfehlung;5
R-0020;Q3_Preis_Fair;3
R-0020;Q4_Nachhaltig;5
R-0020;Q5_Zufrieden;4
R-0021;Q1_Markenbekanntheit;3
R-0021;Q2_Weiterempfehlung;3
R-0021;Q3_Preis_Fair;4
R-0021;Q4_Nachhaltig;3
R-0021;Q5_Zufrieden;4
R-0022;Q1_Markenbekanntheit;4
R-0022;Q2_Weiterempfehlung;4
R-0022;Q3_Preis_Fair;2
R-0022;Q4_Nachhaltig;4
R-0022;Q5_Zufrieden;3
R-0023;Q1_Markenbekanntheit;2
R-0023;Q2_Weiterempfehlung;1
R-0023;Q3_Preis_Fair;3
R-0023;Q4_Nachhaltig;2
R-0023;Q5_Zufrieden;2
R-0024;Q1_Markenbekanntheit;5
R-0024;Q2_Weiterempfehlung;5
R-0024;Q3_Preis_Fair;4
R-0024;Q4_Nachhaltig;5
R-0024;Q5_Zufrieden;5
R-0025;Q1_Markenbekanntheit;4
R-0025;Q2_Weiterempfehlung;4
R-0025;Q3_Preis_Fair;3
R-0025;Q4_Nachhaltig;4
R-0025;Q5_Zufrieden;4
R-0026;Q1_Markenbekanntheit;3
R-0026;Q2_Weiterempfehlung;3
R-0026;Q3_Preis_Fair;3
R-0026;Q4_Nachhaltig;3
R-0026;Q5_Zufrieden;3
R-0027;Q1_Markenbekanntheit;5
R-0027;Q2_Weiterempfehlung;5
R-0027;Q3_Preis_Fair;3
R-0027;Q4_Nachhaltig;5
R-0027;Q5_Zufrieden;5
R-0028;Q1_Markenbekanntheit;3
R-0028;Q2_Weiterempfehlung;2
R-0028;Q3_Preis_Fair;4
R-0028;Q4_Nachhaltig;3
R-0028;Q5_Zufrieden;3
R-0029;Q1_Markenbekanntheit;5
R-0029;Q2_Weiterempfehlung;5
R-0029;Q3_Preis_Fair;2
R-0029;Q4_Nachhaltig;5
R-0029;Q5_Zufrieden;4
R-0030;Q1_Markenbekanntheit;4
R-0030;Q2_Weiterempfehlung;4
R-0030;Q3_Preis_Fair;4
R-0030;Q4_Nachhaltig;4
R-0030;Q5_Zufrieden;4
R-0031;Q1_Markenbekanntheit;5
R-0031;Q2_Weiterempfehlung;4
R-0031;Q3_Preis_Fair;3
R-0031;Q4_Nachhaltig;5
R-0031;Q5_Zufrieden;5
R-0032;Q1_Markenbekanntheit;2
R-0032;Q2_Weiterempfehlung;2
R-0032;Q3_Preis_Fair;3
R-0032;Q4_Nachhaltig;1
R-0032;Q5_Zufrieden;2
